op[1],   1.000000E+00,   2.323133E+01,   2.323133E+01,   2.323133E+01,   2.323133E+01,   2.323133E+01,   2.323133E+01,   2.323133E+01,   1.415830E+01,   1.415830E+01,   1.415830E+01,   1.415830E+01,   1.415830E+01,   1.377609E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01,   1.311030E+01
op[2],   1.000000E+00,   2.168366E+01,   2.176482E+01,   2.179697E+01,   2.178357E+01,   2.160185E+01,   2.129066E+01,   2.087405E+01,   2.037448E+01,   1.981259E+01,   1.920719E+01,   1.857511E+01,   1.793123E+01,   1.668550E+01,   1.554363E+01,   1.454424E+01,   1.370673E+01,   1.303547E+01,   1.219013E+01,   1.189838E+01,   1.191305E+01,   1.205731E+01,   1.222511E+01,   1.236515E+01
error[1], 0.00          ,   2.138030E+02,   1.969497E+02,   1.804242E+02,   1.642122E+02,   1.329556E+02,   1.027798E+02,   7.361035E+01,   6.733543E+01,   6.126411E+01,   5.538850E+01,   4.970110E+01,   4.419479E+01,   3.565085E+01,   3.075324E+01,   2.615226E+01,   2.182871E+01,   1.776480E+01,   8.996274E+00,   1.419873E+00,  -5.132771E+00,  -1.080462E+01,  -1.571748E+01,  -1.997544E+01
error[2], 0.00          ,   2.156983E+02,   2.006044E+02,   1.857668E+02,   1.712298E+02,   1.436532E+02,   1.177966E+02,   9.382668E+01,   7.185870E+01,   5.196092E+01,   3.415961E+01,   1.844398E+01,   4.771141E+00,  -1.510760E+01,  -2.845871E+01,  -3.633495E+01,  -3.981372E+01,  -3.992923E+01,  -3.100153E+01,  -2.009257E+01,  -1.079958E+01,  -4.316947E+00,  -5.241073E-01,   1.241784E+00
proportional, 0.00          ,   1.078492E+01,   1.003022E+01,   9.288342E+00,   8.561490E+00,   7.182659E+00,   5.889829E+00,   4.691334E+00,   3.592935E+00,   2.598046E+00,   1.707981E+00,   9.221988E-01,   2.385570E-01,  -7.553799E-01,  -1.422935E+00,  -1.816747E+00,  -1.990686E+00,  -1.996462E+00,  -1.550076E+00,  -1.004628E+00,  -5.399791E-01,  -2.158474E-01,  -2.620537E-02,   6.208918E-02
integral, 0.00          ,   8.987429E-01,   1.734595E+00,   2.508623E+00,   3.222081E+00,   4.419191E+00,   5.400829E+00,   6.182718E+00,   6.781540E+00,   7.214548E+00,   7.499211E+00,   7.652911E+00,   7.692671E+00,   7.440877E+00,   6.966566E+00,   6.360983E+00,   5.697421E+00,   5.031934E+00,   3.740204E+00,   2.903013E+00,   2.453031E+00,   2.273158E+00,   2.251320E+00,   2.303061E+00
derivative, 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
pid_i, 0.00          ,   1.078492E+03,   2.081514E+03,   3.010348E+03,   3.866497E+03,   5.303029E+03,   6.480994E+03,   7.419261E+03,   8.137848E+03,   8.657457E+03,   8.999054E+03,   9.183493E+03,   9.231205E+03,   8.929053E+03,   8.359879E+03,   7.633180E+03,   6.836905E+03,   6.038321E+03,   4.488244E+03,   3.483616E+03,   2.943637E+03,   2.727789E+03,   2.701584E+03,   2.763673E+03
inlet_flow[1],   1.000000E+00,   5.807833E+00,   5.807833E+00,   5.807833E+00,   5.807833E+00,   5.807833E+00,   5.807833E+00,   5.807833E+00,   3.539575E+00,   3.539575E+00,   3.539575E+00,   3.539575E+00,   3.539575E+00,   3.444024E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00,   3.277575E+00
inlet_flow[2],   1.000000E+00,   5.420914E+00,   5.441204E+00,   5.449241E+00,   5.445893E+00,   5.400462E+00,   5.322664E+00,   5.218513E+00,   5.093619E+00,   4.953149E+00,   4.801798E+00,   4.643778E+00,   4.482807E+00,   4.171374E+00,   3.885908E+00,   3.636059E+00,   3.426684E+00,   3.258868E+00,   3.047532E+00,   2.974596E+00,   2.978263E+00,   3.014328E+00,   3.056279E+00,   3.091288E+00
